time,zone,total,risk,h1,h2,h3,h4,h5
2026-06-23 14:44:05.571701,Z0,14.768951974237142,0.0,2.3892720004615438,2.640331813456898,3.1228738411959616,2.6356996985597183,3.09799335148481
2026-06-23 14:44:05.604803,Z1,15.10210367085751,0.0,3.2070312726218737,2.287101072869249,2.151286841751868,3.700960654863514,3.1573752753617264
2026-06-23 14:44:05.622727,Z2,19.838970238056717,0.0,3.635864259518842,3.8068731755773513,3.6173953122440405,3.183066163392163,3.7454556083598947
2026-06-23 14:44:05.647596,Z3,16.54061431509795,0.0,3.109067689900839,3.3540342374443153,3.620685187329988,3.0625497403276394,2.34820371647883
2026-06-23 14:44:05.672627,Z4,18.605602908113475,0.0,3.9260670488203573,3.9013947194478584,3.1490938059065474,2.4808687900211526,3.6517727414952086
2026-06-23 14:44:05.695713,Z5,14.414994906860171,0.0,2.6809336648758424,2.1987662823066723,3.171353193227338,2.629900915162737,3.538932801926227
2026-06-23 14:44:05.709429,Z6,15.128397777634165,0.0,2.5773720776532523,2.9370495918806645,2.552732151779125,3.6657762434859946,2.70333092075985
2026-06-23 14:44:05.728633,Z7,14.157469330108945,0.0,2.8340727765714098,2.8529862890011586,2.4534879824051665,3.4573173887480086,2.393071161190081
2026-06-23 14:44:05.742322,Z8,16.315799845465083,0.0,3.8551182104597297,3.7101344873955195,3.2447461830397053,2.1799993321701883,2.520393806837083
2026-06-23 14:44:05.762952,Z9,16.624116856914714,0.0,3.6559904144057596,2.640521355823025,3.2549737933305964,3.0241464911198532,2.0777128332042394
2026-06-23 14:44:10.332484,Z0,16.156442771431333,0.19,3.1705207506707813,3.4262433847026057,2.687387191797072,2.1978992739759438,3.0024183678443865
2026-06-23 14:44:10.346889,Z1,15.450340999710688,0.21,2.766240630372712,3.145324089298555,2.5572809214376426,2.0934075046816423,3.100787444906544
2026-06-23 14:44:10.363952,Z2,14.365183580268111,0.53,3.7943927770227504,2.249731770500567,2.526327671398195,3.0514710077906373,2.446590229582348
2026-06-23 14:44:10.389542,Z3,15.90723823420766,0.11,2.290151937276764,3.115471418677598,3.7430680189648595,3.5265871590576094,2.31056777037837
2026-06-23 14:44:10.406547,Z4,15.117688782454177,0.37,2.3498395781385497,3.670450523833697,3.185314602269548,2.196639597124876,3.4097851933973375
2026-06-23 14:44:10.427385,Z5,15.823229310696227,0.22,3.5089532076978154,3.471107061701996,3.5931890334305914,2.582287727022237,2.52087698723891
2026-06-23 14:44:10.442758,Z6,13.26031057486393,0.23,2.0578775270211684,2.624823218297095,2.7566224359176563,2.2425766946374064,2.8844289886780126
2026-06-23 14:44:10.458768,Z7,15.642905821998024,0.2,3.3701945343657047,2.2155866993259474,2.8065664706645195,3.318748836201289,2.500393964886838
2026-06-23 14:44:10.473546,Z8,12.850859306278698,0.37,2.2707809973210304,2.5230161236848367,2.656414104152776,2.159888602604248,2.732241806872895
2026-06-23 14:44:10.487599,Z9,19.6435169526924,0.35,3.223791644192363,3.928852212230338,3.886657733433913,3.538090899598238,3.6382731688086647
2026-06-23 14:44:15.522126,Z0,15.544596635100433,0.18,3.0958241756498888,3.019241116513693,2.3627528922447105,3.262118645595292,2.053326703220588
2026-06-23 14:44:15.537614,Z1,16.962257920357906,0.27,3.584613519360139,3.6878004748353477,2.446625845456645,2.6094954597048736,2.666384609039773
2026-06-23 14:44:15.554671,Z2,17.004034044359056,0.29,3.2343557087448973,3.840397791009565,3.12786659396511,3.6037834069247543,2.8435684712049287
2026-06-23 14:44:15.568803,Z3,14.284587799960622,0.27,2.3974060928472496,2.287507841589576,2.6348122807276146,2.642653418522679,3.282084037826243
2026-06-23 14:44:15.577964,Z4,15.096026955445025,0.35,3.0397784008085242,2.9117272650954096,2.220336887297588,2.9048673779857386,3.6495359287188895
2026-06-23 14:44:15.593853,Z5,16.161406545259368,0.2,3.422815219568701,2.4188703920866805,2.6670184609887384,3.504923944274173,3.7040499831794973
2026-06-23 14:44:15.608965,Z6,13.547912500064687,0.24,2.759161544628252,2.224731100162243,3.688208472482117,2.1746029943894944,2.6574322103791133
2026-06-23 14:44:15.620337,Z7,17.713330880561745,0.35,2.88363949797903,3.407493825814222,3.064650025420985,3.836093910671905,2.898375343360284
2026-06-23 14:44:15.629378,Z8,14.956703456258207,0.24,2.1728086829870183,2.328164001553642,3.5735063814294605,2.72744334778134,2.9540497377363426
2026-06-23 14:44:15.637886,Z9,15.752973897809845,0.2,3.8025276771777037,3.2212883640691388,2.5041041969448408,3.184225412889065,2.6314270835889095
2026-06-23 14:44:20.651910,Z0,16.278746015750794,0.2,3.760787426204157,2.6946098078969216,3.369212567083008,2.6087189188121838,2.312653394385758
2026-06-23 14:44:20.665574,Z1,15.395804929917968,0.16,3.2812490413846063,2.2690666212057238,3.5524671195848105,3.413402522972125,2.0933976799286644
2026-06-23 14:44:20.680311,Z2,15.923937715000672,0.37,2.4632233477379115,3.071168179736657,2.399045185352395,3.8762844599238786,2.5919838429310564
2026-06-23 14:44:20.696283,Z3,18.74419041936584,0.26,2.772069150105744,3.2350561846051455,3.504214418037656,3.9542128267999446,3.385826531068263
2026-06-23 14:44:20.713210,Z4,17.89580540018528,0.18,3.344764589949666,3.1940374506713853,3.2659682847675775,3.87802381757483,3.7429774528247366
2026-06-23 14:44:20.731115,Z5,13.54465510909025,0.21,2.1004961570395944,2.042842703757854,2.0871192161607794,2.3041037910057702,3.3864413528528767
2026-06-23 14:44:20.748796,Z6,17.867521494341798,0.32,3.890044182841554,2.5797488713463474,3.764776951266762,3.5606569726108055,2.7982702505879966
